CountySt,DIRSALES_FARMS12,MEDHHINC15,METRO13,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS13,PCT_HISP10,PCT_LACCESS_HHNV15,PCT_LACCESS_POP15,PCT_LACCESS_SNAP15,PCT_NHBLACK10,PCT_NHWHITE10,POVRATE15,SNAPSPTH12,2010_Census_Population,HDM,PCA,healthy_store_ratio,healthy_restaurant_ratio,sum_farms,has_food_tax,has_soda_tax,has_chip_tax,has_recfac,has_slaughter,has_fmrkt,PCA_dt_medinc,PCA_dt_allinc
"Abbeville, SC",0.4334819661117883,-1.2554123473624652,0.0,-0.1853210779476413,0.23180967177969708,2.3259724580726555,-1.2969147316929968,0.4065131320965566,-1.8775667454738918,-1.6959930776967607,1.34966817152375,-0.6718177522009804,0.6363865203698567,-0.4061481341350658,-0.019061790790044175,-0.33104252718757127,-1.1115047503375934,0.21235276704949826,-0.3641905599849687,0.4183712879116543,0.0,0.0,0.0,0.0,0.0,1.0,-0.30557349426756397,-0.6841804732021315
"Accomack, VA",-0.22262956564382042,-0.911016807335609,0.0,-0.8334819679133196,0.8098721052183426,1.0062105166453408,0.6650192416836148,2.063341887070671,-1.2339394787256086,-1.3038322891032137,1.342119540449092,-0.9480783012194581,0.8302341575863221,1.0107795717086538,0.1763126480760569,0.6475131159704803,-0.9069842750957757,0.11441489263000099,0.810103182863793,-0.007527483323829335,1.0,1.0,1.0,1.0,1.0,1.0,-0.32222107481677464,0.01506289503217717
"Ada, ID",2.0804483352253684,0.9939571450865297,1.0,1.0891210808074285,-1.427154630702426,-1.6949226766682979,0.5487622231816727,-1.7805407733885863,-0.15421458001536303,-0.6039577935158199,-0.16209797712929147,-0.02231717208162145,-0.6150245032050714,-1.120973483146566,1.5961821301616843,-1.082877896165808,1.5546486688345076,0.6335804697572456,-0.5253113418699346,1.2924648930969886,1.0,1.0,1.0,1.0,1.0,1.0,0.91605286348614,0.6984090743432283
"Adair, IA",0.006272884668573728,0.4354882117473755,0.0,-0.3036582050047055,1.2667106316733485,0.25101591868327155,-0.9099449755308772,-0.23714693462425565,-1.104591020924329,-1.1830678512819142,-1.5347849064430104,1.8712602537028293,-0.5790394381393529,1.1622908236191378,-0.9735295789276763,-0.2688778986791807,0.04150034483018503,-0.22777672762222823,0.7315152969860136,-0.33750567379756014,0.0,1.0,0.0,1.0,0.0,1.0,-0.2384511871437993,-0.02274434449340445
"Adair, KY",-0.2639845916795205,-1.7653094638276317,0.0,-0.26742024842431056,-0.10409301501290828,1.6067550689692431,-0.6012967797672439,0.9932378985043223,-0.8310518794499654,-0.2503656342182384,0.20634743779906564,0.6119933331270961,1.5976984220914237,0.8846786845641763,-0.25337342306314753,1.3879076595604953,-1.6596711083159483,-0.4238548524557396,0.25490199055947255,0.3884302016159712,0.0,1.0,0.0,1.0,1.0,1.0,-0.5262880104094703,-0.5850913764037706
"Adair, MO",0.03513515136381242,-0.7347775913722885,0.0,-1.3187561289029828,-0.8932563123384611,-0.9184977079651132,-0.42512150592698983,0.3711901022697566,-0.0946189585596333,0.29127128285536674,-0.019204246952274497,0.4541388311026881,1.0124743363652702,-1.106205574095586,-0.012036665802851407,-0.2680743692640548,0.6831378938641777,-0.9795114633875127,-0.22134370153416602,-0.2730890226527413,1.0,1.0,1.0,1.0,0.0,1.0,1.1547216820471242,0.9495517539648217
"Adair, OK",0.1931431668132398,-1.8676053252148468,0.0,1.3934215541086303,-0.7713964866651848,1.2924648930969886,0.3411110678789355,0.9435169423946178,-1.00893881797258,-0.2628211514362218,-1.0974420303506534,-1.5343338032945804,1.7362536142999867,0.6937074069578391,-0.09922876097565834,1.5418461521948046,-1.571982085631726,-0.8039576712814882,-1.6205922981199683,-0.24196303143312786,1.0,1.0,1.0,0.0,0.0,0.0,-0.3729054053498355,-0.485288856439005
"Adams, CO",1.1187114396503328,1.2774067761186851,1.0,1.4862460303202278,-2.1281690942639835,-1.7923740229175147,1.6385937265972905,-1.7498115222878496,-0.32327813482771933,-0.24729224603695513,0.2176982670223819,-1.2206334754621793,-0.3965603560912217,-1.310021519367064,1.6539670119518524,-1.318632289600849,1.7602559683829853,0.6369953181604389,-1.0573567541045303,0.26918439554518003,0.0,1.0,0.0,1.0,1.0,1.0,0.9396310815744525,0.8608613723732347
"Adams, IA",-1.061884134877072,0.11611692837869682,0.0,-0.764533039110893,1.2523355748607683,-0.3979179193672613,-1.4400435676611094,-2.211186969760455,-1.0960756010037724,-1.523411437848214,-1.2363307551987783,1.6340557884874096,-0.45703255293911804,0.6121910660371599,-1.4213393730068644,0.4756553635354577,-0.011927798813600421,0.36553147697296934,-1.135284209184952,-1.3249576888929775,0.0,1.0,0.0,0.0,1.0,1.0,-0.08678165207598434,-0.41498573435648156
"Adams, ID",-0.14224449534329844,-0.7781715783747135,0.0,-1.397879246132146,1.1256397904877231,0.25101591868327155,-0.29360742011118035,-0.09025474828377336,-0.6963897379441908,-0.9730958073399396,-1.7633496483434692,0.723836653691944,0.1321130235613776,1.3720709632579606,-1.4364341265529352,-0.5191012306669295,0.16855227256434488,-0.715217795675016,1.4496822521911643,-0.842694365194144,1.0,1.0,1.0,0.0,0.0,0.0,0.6680033314372635,0.5948234217391264
"Adams, IL",0.39113737482256405,0.02557059324576222,0.0,-0.09659451687178698,0.47547156162006043,-0.3979179193672613,-1.0938011206824145,-1.1496180817241373,-0.29962527659181504,-0.5500787126694378,0.29881541453941507,0.4839232559870274,-0.28221614706250814,-0.23184481158935868,0.6802485478972561,-0.3574957320533234,0.4495997684358158,0.4153154320636909,0.5801014692786024,0.5569266030950195,1.0,1.0,1.0,1.0,1.0,1.0,0.43289404595001624,0.14604614345488165
