CountySt,DIRSALES_FARMS12,MEDHHINC15,METRO13,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS13,PCT_HISP10,PCT_LACCESS_HHNV15,PCT_LACCESS_POP15,PCT_LACCESS_SNAP15,PCT_NHBLACK10,PCT_NHWHITE10,POVRATE15,SNAPSPTH12,2010_Census_Population,HDM,PCA,healthy_store_ratio,healthy_restaurant_ratio,sum_farms,has_food_tax,has_soda_tax,has_chip_tax,has_recfac,has_slaughter,has_fmrkt
"Lubbock, TX",48.0,47139.0,1.0,24.33803989,10.98227959,8.6,31.89171936,1.646282399,15.71388003,2.944304681,7.15738207,57.31608035,20.1,0.580907055,278831.0,371.7,0.6429174956088387,0.40594059405940597,0.623574144486692,100.0,0.0,1.0,0.0,1.0,1.0,1.0
"Lucas, IA",15.0,46933.0,0.0,24.44369521,20.16183412,11.6,1.00022477,4.288963069,21.66354003,3.153858987,0.168577208,97.99955046,14.7,1.02739726,8898.0,379.6,-0.27740310651316186,0.25,2.0,26.0,0.0,1.0,0.0,0.0,0.0,1.0
"Lucas, OH",42.0,43136.0,1.0,24.02295078,13.08443579,12.3,6.105270305,1.389546514,16.3625174,2.596927316,18.68225388,70.97902968,19.5,0.946922132,441815.0,426.6,-0.8719971219457395,0.5825242718446602,0.9636871508379888,59.0,0.0,1.0,0.0,1.0,0.0,1.0
"Luce, MI",8.0,41870.0,0.0,17.88568843,17.87060775,12.0,1.236615895,2.693311622,11.99430894,1.804061951,11.08430101,79.55059569,19.6,1.316058469,6631.0,354.7,-0.18179614831798635,1.0,3.3333333333333335,9.0,0.0,0.0,0.0,0.0,0.0,1.0
"Lumpkin, GA",6.0,48101.0,0.0,20.8269372,12.66101582,10.8,4.485083094,2.534963473,1.176436741,0.229291775,1.034505773,91.83407862,16.5,0.634303573,29966.0,293.7,0.6728753347183478,0.2857142857142857,1.1111111111111112,39.0,0.0,0.0,0.0,1.0,0.0,1.0
"Luna, NM",12.0,27151.0,0.0,26.47937836,19.55369596,10.6,61.45845786,3.386254203,25.58038002,7.049633381,0.753138075,35.8517633,30.9,0.792034397,25095.0,451.9,-0.600959913895718,0.4375,1.2352941176470589,77.0,0.0,0.0,0.0,1.0,0.0,1.0
"Lunenburg, VA",17.0,38941.0,0.0,19.31237417,17.19838934,13.2,3.63946105,5.089611523,0.057365011,0.014550715,34.4664705,59.85751897,21.1,0.748066942,12914.0,399.7,-0.901877522865376,0.5714285714285714,1.3333333333333333,21.0,1.0,1.0,1.0,1.0,0.0,1.0
"Luzerne, PA",89.0,49589.0,1.0,20.19207399,17.94695218,11.7,6.696726267,2.1145251,15.60004683,1.895571576,2.972410398,88.20259381,15.1,0.834041996,320918.0,403.5,-0.5069093056037086,0.624113475177305,1.391304347826087,128.0,0.0,1.0,0.0,1.0,1.0,1.0
"Lycoming, PA",118.0,49941.0,1.0,20.85246015,16.46011145,10.7,1.342680711,2.787184872,18.59651548,2.279438627,4.357898907,91.90343723,14.8,0.703405936,116111.0,321.2,0.47001081028816105,0.7551020408163265,1.6417910447761195,124.0,0.0,1.0,0.0,1.0,1.0,1.0
"Lyman, SD",6.0,39527.0,0.0,29.45406125,14.59387483,10.4,1.118508655,6.354465746,83.58971233,14.08194855,0.079893475,58.08255659,22.7,1.319609396,3755.0,280.4,0.8986022605405276,0.7142857142857143,2.0,58.0,1.0,1.0,1.0,0.0,0.0,0.0
"Lynn, TX",2.0,38922.0,1.0,27.81065089,15.77345731,10.4,46.37362637,2.712828959,33.86923005,5.126595487,1.910397295,50.44801352,20.5,0.778142832,5915.0,368.3,0.1591978520293886,1.0,0.75,17.0,0.0,1.0,0.0,0.0,0.0,0.0
"Lyon, IA",37.0,64057.0,0.0,27.6746395,16.82065452,9.3,1.830584578,2.162411883,11.21691582,0.988024077,0.077713496,97.28866246,7.4,0.510334269,11581.0,283.8,1.183086332373674,0.8,2.5,19.0,0.0,1.0,0.0,1.0,1.0,1.0
"Lyon, KS",43.0,39562.0,0.0,23.56782428,12.50519442,10.4,20.05046008,1.319818124,17.14655577,2.36251199,2.169783318,73.32739685,17.5,0.711153254,33690.0,333.2,0.45445490252701076,0.7058823529411765,1.1785714285714286,47.0,1.0,1.0,1.0,1.0,0.0,1.0
"Lyon, KY",13.0,48189.0,0.0,15.43180178,20.95261006,14.3,0.926148665,1.405492545,3.129170913,0.455392542,5.256194371,92.27808516,16.9,0.409132639,8314.0,467.7,-1.7869699538304378,0.5,1.6,11.0,0.0,1.0,0.0,0.0,0.0,0.0
"Lyon, MN",16.0,55051.0,0.0,24.22941563,13.60946746,8.3,5.959701435,1.859683229,25.97570008,2.04763649,2.223769192,87.54689252,12.2,0.83193047,25857.0,231.3,1.9093323712048844,1.4444444444444444,1.0,11.0,0.0,1.0,0.0,1.0,1.0,0.0
"Lyon, NV",48.0,51934.0,0.0,24.87110427,15.80415544,9.3,14.76337053,2.351919634,24.25587402,2.563842343,0.698345518,78.17237399,13.8,0.579616966,51980.0,351.8,0.6110783712956599,0.3333333333333333,0.9523809523809523,114.0,0.0,0.0,0.0,1.0,0.0,1.0
"Mackinac, MI",16.0,40091.0,0.0,18.66282732,22.37919554,13.1,1.133807253,5.488919842,30.24709955,4.269163084,0.512912805,75.68613336,16.1,1.466582862,11113.0,359.1,-0.5318928980394937,0.9230769230769231,2.3333333333333335,16.0,0.0,0.0,0.0,0.0,0.0,1.0
"Macomb, MI",92.0,54939.0,1.0,23.02735624,14.29050463,9.9,2.270570693,1.200327415,22.62965966,2.252691454,8.567762771,83.91337229,11.7,0.985976825,840978.0,385.5,0.15682460807970397,0.7652439024390244,1.1247672253258845,127.0,0.0,0.0,0.0,1.0,1.0,1.0
"Macon, GA",10.0,30696.0,0.0,22.06919946,12.39484396,13.5,3.575305292,8.892884819,17.16963109,2.47460354,60.39348711,33.65671642,33.5,1.577508238,14740.0,441.2,-1.3363572903641343,0.7272727272727273,0.375,58.0,0.0,0.0,0.0,0.0,0.0,1.0
"Macon, IL",23.0,48302.0,1.0,22.82608696,16.37837643,10.0,1.87057634,1.907423533,26.91715147,2.209974481,16.17434638,78.38184313,18.2,0.832410115,110768.0,344.9,0.46988478383521487,0.5384615384615384,1.3064516129032258,38.0,1.0,1.0,1.0,1.0,0.0,1.0
