CountySt,AGRITRSM_OPS12,AGRITRSM_RCT12,BERRY_ACRES12,BERRY_FARMS12,CHIPSTAX_STORES14,CHIPSTAX_VENDM14,CONVS11,CSA12,DIRSALES12,DIRSALES_FARMS12,FFR11,FMRKT13,FOOD_TAX14,FSR11,GHVEG_FARMS12,GROC11,MEDHHINC15,METRO13,ORCHARD_ACRES12,ORCHARD_FARMS12,PCT_18YOUNGER10,PCT_65OLDER10,PCT_DIABETES_ADULTS13,PCT_HISP10,PCT_LACCESS_CHILD15,PCT_LACCESS_HHNV15,PCT_LACCESS_LOWI15,PCT_LACCESS_POP15,PCT_LACCESS_SENIORS15,PCT_LACCESS_SNAP15,PCT_NHBLACK10,PCT_NHWHITE10,PC_DIRSALES12,PC_SNAPBEN12,POVRATE15,RECFAC11,SLHOUSE12,SNAPSPTH12,SODATAX_STORES14,SODATAX_VENDM14,SPECS11,SUPERC11,VEG_ACRES12,VEG_FARMS12,2010_Census_Population,HDM,Life Expectancy,PCA
"Copiah, MS",3.0,,18.0,7.0,7.0,8.0,20.0,0.0,15.0,16.0,11.0,3.0,7.0,12.0,1.0,6.0,34723.0,1.0,91.0,8.0,25.0738565,13.6812795,15.0,2.624876906,6.369563729,5.203914946,11.73395626,24.36630009,3.078469816,4.747412203,50.67744236,45.49899827,0.518797773,46.97585678,26.1,1.0,3.0,1.398722155,7.0,8.0,0.0,0.0,229.0,21.0,29449.0,483.2,74.0,-2.116589693175406
"Corson, SD",2.0,,0.0,0.0,4.0,4.0,1.0,0.0,,1.0,0.0,0.0,4.0,1.0,4.0,1.0,31621.0,0.0,0.0,0.0,34.32098765,10.44444444,13.3,2.617283951,30.68957015,13.03107873,57.64454799,89.78688438,9.927521043,30.33450618,0.074074074,29.67901235,,55.58284378,47.4,0.0,0.0,1.492110212,4.0,4.0,0.0,0.0,0.0,0.0,4050.0,576.6,78.5,-2.4184016343814556
"Cortland, NY",6.0,4000.0,57.0,18.0,0.0,4.0,20.0,1.0,569.0,100.0,31.0,4.0,0.0,49.0,7.0,8.0,49894.0,0.0,20.0,12.0,21.10223772,13.08983298,8.3,2.217447706,2.628757121,2.45036328,3.41678299,10.71950606,1.576518355,1.337525234,1.428976812,93.74898654,11.56809726,19.44455719,16.2,4.0,1.0,0.853983911,4.0,4.0,3.0,0.0,228.0,33.0,49336.0,314.0,80.24545454545455,1.2136697479526526
"Coryell, TX",47.0,474000.0,,1.0,0.0,6.25,25.0,1.0,65.0,38.0,32.0,0.0,0.0,30.0,0.0,5.0,45989.0,1.0,1323.0,52.0,27.86252454,7.539661485,9.1,15.88183796,14.08150251,1.381543803,17.10548744,43.59208806,2.281719123,3.148247862,15.1880936,62.04701013,0.845693469,11.92963696,16.0,4.0,0.0,0.393840125,6.25,6.25,2.0,2.0,249.0,4.0,75388.0,345.6,75.94615384615385,0.7201564874054983
"Coshocton, OH",23.0,35000.0,7.0,8.0,0.0,0.0,15.0,5.0,188.0,77.0,22.0,2.0,0.0,12.0,2.0,6.0,41643.0,0.0,76.0,24.0,24.06167855,16.23804233,14.6,0.756077071,4.436289225,5.580612621,7.330931654,18.59338398,2.903601318,3.38980122,1.059591881,96.56106881,5.105782027,24.17617226,15.1,2.0,1.0,0.65254629,5.75,5.75,1.0,1.0,,21.0,36901.0,378.2,77.03,-1.1194932080759628
"Costilla, CO",5.0,,0.0,0.0,0.0,0.0,3.0,0.0,38.0,14.0,0.0,0.0,0.0,5.0,0.0,2.0,27944.0,0.0,0.0,0.0,20.88535755,22.90011351,8.3,66.03291714,20.86820538,10.01098176,49.23155691,99.94345096,22.9001135,23.42384279,0.170261067,30.81725312,10.55262427,37.83245468,28.2,0.0,0.0,3.199777407,2.91,2.91,0.0,0.0,4683.0,10.0,3524.0,255.2,79.5,1.708288396649524
"Cottle, TX",13.0,74000.0,0.0,0.0,0.0,6.25,3.0,0.0,,1.0,2.0,0.0,0.0,2.0,0.0,1.0,35602.0,0.0,,2.0,23.25581395,23.78737542,12.3,20.99667774,23.25581394,11.74005787,46.02761645,99.94135214,23.78737532,17.12763785,8.571428571,69.30232558,,18.58715248,21.4,0.0,0.0,1.34589502,6.25,6.25,0.0,0.0,,2.0,1505.0,403.2,79.8,-0.6751590882806578
"Cotton, OK",14.0,47000.0,0.0,0.0,4.5,4.5,4.0,4.0,35.0,7.0,2.0,0.0,4.5,3.0,0.0,1.0,42901.0,1.0,135.0,6.0,24.60842887,16.97077345,14.5,5.554658485,21.01408577,7.146344791,32.43153927,83.54246539,14.14009122,11.17491068,2.034555143,79.20232521,5.695687551,17.4418602,16.8,0.0,0.0,0.947738966,4.5,4.5,0.0,0.0,22.0,3.0,6193.0,470.7,78.15,-1.8691300482424873
"Cottonwood, MN",1.0,,,2.0,0.0,6.875,7.0,1.0,140.0,32.0,8.0,0.0,0.0,5.0,2.0,5.0,49448.0,0.0,,2.0,23.88123556,21.23727218,10.2,6.160691366,9.566825746,2.472801355,14.3266431,36.4077451,7.249395478,4.472294848,0.701634295,89.26157269,12.02129487,9.863210678,13.7,1.0,1.0,0.639533213,6.875,6.875,0.0,0.0,511.0,7.0,11687.0,277.7,80.0,0.9782387904184096
"Covington, AL",10.0,13000.0,11.0,8.0,4.0,4.0,33.0,4.0,67.0,37.0,23.0,2.0,4.0,19.0,0.0,9.0,36355.0,0.0,1287.0,65.0,22.56851582,18.37415596,14.7,1.278962002,2.07591947,3.300127,4.370326751,9.980464049,1.92933503,1.427113485,12.40566662,84.07520191,1.771643133,27.79761696,22.3,2.0,1.0,1.284415755,4.0,4.0,4.0,1.0,55.0,20.0,,495.6,74.93076923076923,-2.135510353648779
